stulD,q0401a,q0401b,q0401c,q0401d,q0401e,q0401f,q0401g,q0401h,q0401i,q0401j,q0401k,q0401l,q0401m,q0401n,q0401o,q0401p,q0401q,q0402,q0403,q0404,q0405,q0406,q0407,q0408,q0409,年级,年份,市
100046,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,1,1,1,1,1,1,1,2100.0,8.0,1,2,2020,5
100047,3,3,2,2,4,2,3,3,5,5,5,5,5,5,5,5,5,2,2,3,2,2,,,2,2,2020,5
100048,3,3,3,3,3,3,2,3,4,3,2,2,1,4,1,2,2,1,2,1,1,1,2240.0,7.0,4,2,2020,5
100049,2,3,3,3,4,3,3,3,3,3,2,4,5,5,5,5,5,1,2,1,2,1,2200.0,7.5,1,2,2020,5
100050,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,9999.0,6.0,2,2,2020,5
100051,1,1,3,1,5,1,3,1,5,1,1,5,4,5,4,1,3,1,1,1,2,1,2300.0,8.0,1,2,2020,5
123335,3,3,2,3,4,2,2,2,5,3,3,2,3,4,4,4,4,1,2,1,2,1,2300.0,7.0,4,2,2020,5
100052,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,5,1,2,1,2,1,2200.0,7.0,1,2,2020,5
100053,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2200.0,8.5,2,2,2020,5
100054,4,5,2,3,4,2,4,4,5,1,3,3,5,5,5,4,5,1,2,1,2,1,2245.0,6.0,4,2,2020,5
100055,2,3,1,4,3,4,4,2,5,3,2,2,4,4,5,4,4,1,1,1,1,1,2300.0,6.5,3,2,2020,5
123336,3,4,2,3,5,2,5,2,5,5,1,3,4,4,4,5,4,1,1,1,1,1,2300.0,6.0,4,2,2020,5
100056,1,1,3,3,5,2,4,3,5,1,1,1,2,5,4,3,1,1,1,2,1,2,2235.0,6.5,4,2,2020,5
100057,5,4,2,5,4,3,2,1,5,2,3,3,3,4,3,1,2,1,1,1,1,1,2300.0,6.0,2,2,2020,5
100058,4,5,2,4,5,4,4,4,4,4,2,3,2,4,3,3,2,1,1,1,2,1,9999.0,7.0,1,2,2020,5
100059,2,3,4,3,3,2,3,2,4,2,2,2,4,4,4,4,4,1,1,1,1,1,,,1,2,2020,5
100060,2,2,3,2,2,2,2,2,2,2,2,3,3,4,3,3,3,1,2,1,1,1,100.0,7.0,2,2,2020,5
100061,2,3,3,3,3,3,3,3,3,3,3,3,4,5,4,4,4,1,2,1,2,1,2300.0,8.0,3,2,2020,5
123337,4,2,3,4,5,4,5,3,5,1,1,5,1,4,2,2,2,1,1,1,1,1,2230.0,6.5,2,2,2020,5
