stulD,年份,市,民族,性别,出生年,出生月,身高/cm,体重/kg,肺活量/ml,50米跑/秒,坐位体前屈/cm,立定跳远/cm,1分钟跳绳,立定跳远/跳绳,800米（女）,1000米（男）,800米/1000/50*8,50*8,引体向上（男）,1分钟仰卧起坐（女）
129276,2015,5,1,2,1997,10,170,60.0,2850,7.68,4.0,2.08,,,3'33,,,,,34.0
129277,2015,5,1,2,1998,7,161,53.0,3050,7.68,10.0,1.88,,,3'22,,,,,30.0
129278,2015,5,1,1,1998,9,178,70.0,3540,8.1,14.0,2.61,,,,3'43,,,6.0,
129279,2015,5,1,1,1998,1,186,80.0,4000,7.05,6.0,2.65,,,,3'36,,,11.0,
129280,2015,5,1,1,1999,8,172,65.0,3760,6.6,14.0,2.32,,,,3'26,,,10.0,
129281,2015,5,1,1,1998,1,171,57.0,4350,7.72,11.0,2.93,,,,3'18,,,22.0,
129282,2015,5,1,1,1999,5,183,75.0,4500,8.1,13.0,2.55,,,,3'38,,,9.0,
129283,2015,5,1,1,1998,7,185,74.0,4000,7.0,9.2,2.6,,,,3'30,,,11.0,
129284,2015,5,1,1,1998,2,173,78.0,4550,7.11,14.0,2.43,,,,4'15,,,6.0,
129285,2015,5,1,1,1998,12,182,76.0,3840,6.94,8.0,2.51,,,,3'34,,,13.0,
129286,2015,5,1,2,1998,8,163,43.0,3050,8.42,10.0,2.12,,,3'48,,,,,36.0
129287,2015,5,1,1,1998,1,185,88.0,4350,7.72,21.0,2.68,,,,4'00,,,6.0,
129288,2015,5,1,2,1993,12,163,47.0,2650,8.65,7.0,1.97,,,3'35,,,,,27.0
129289,2015,5,1,2,1998,9,161,49.0,2340,8.9,12.0,1.83,,,3'29,,,,,49.0
129290,2015,5,1,2,1999,11,160,44.0,1400,7.2,5.0,2.3,,,3'12,,,,,35.0
129291,2015,5,1,2,1998,5,165,54.0,2110,7.9,13.0,1.81,,,3'26,,,,,45.0
129292,2015,5,1,1,1999,5,174,62.0,3950,6.5,10.0,2.45,,,,3'30,,,12.0,
129293,2015,5,1,2,1999,10,163,56.0,2500,7.4,14.0,2.0,,,3'39,,,,,48.0
129294,2015,5,1,2,1997,8,165,53.0,3200,8.65,8.0,2.0,,,3'45,,,,,24.0
129295,2015,5,1,1,1996,7,181,68.0,3950,7.52,19.0,2.68,,,,3'34,,,15.0,
129296,2015,5,1,1,2000,8,175,81.0,3830,7.52,0.0,2.2,,,,4'20,,,0.0,
129297,2015,5,1,1,1998,5,188,70.0,4050,7.65,11.0,2.87,,,,3'43,,,18.0,
129298,2015,5,1,1,1999,10,171,62.0,1400,7.1,2.0,2.12,,,,3'45,,,1.0,
129299,2015,5,1,2,2000,2,155,43.0,2500,7.14,3.0,2.12,,,2'52,,,,,40.0
129300,2015,5,1,1,1999,7,170,62.0,3780,7.6,14.0,2.64,,,,3'56,,,7.0,
